@relation WGN0331_data

@attribute TradingPeriod numeric
@attribute IsProxyPriceFlag numeric
@attribute Med$PerMWHr numeric
@attribute IntTime numeric
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Avg$PerMWHr numeric

@data
4,0,4.77,6147,2022,11,6,5.268333
5,0,4.64,7922,2022,11,6,3.875
6,0,0.03,9719.5,2022,11,6,0.03
7,0,0.025,11335.5,2022,11,6,0.025
8,0,0.03,12891,2022,11,6,0.03
9,0,0.025,14556,2022,11,6,0.0225
10,0,0.025,16352.5,2022,11,6,0.025
11,0,0.03,18578,2022,11,6,0.03
12,0,0.03,20530,2022,11,6,0.036667
13,0,0.02,22334,2022,11,6,0.023333
14,0,0.03,23979,2022,11,6,0.038571
15,0,0.03,25799,2022,11,6,0.067143
16,0,0.09,27603,2022,11,6,0.674286
17,0,0.21,29386,2022,11,6,2.608571
18,0,9.95,31342.5,2022,11,6,8.893333
19,0,10.03,33140,2022,11,6,10.263333
20,0,9.89,34790,2022,11,6,9.282857
21,0,9.895,36723.5,2022,11,6,9.501667
22,0,5.175,38525,2022,11,6,5.556667
23,0,9.675,40341.5,2022,11,6,6.525
24,0,5.26,42119.5,2022,11,6,5.616667
25,0,3.64,43922.5,2022,11,6,3.965
26,0,2.2,45723.5,2022,11,6,2.183333
27,0,2.23,47518.5,2022,11,6,2.805
28,0,2.24,49319.5,2022,11,6,2.48
29,0,2.25,51123,2022,11,6,2.37
30,0,3.115,52921,2022,11,6,3.575
31,0,4.94,54745,2022,11,6,4.945
32,0,4.96,56537,2022,11,6,4.96
33,0,4.97,58323,2022,11,6,4.986667
34,0,2.835,60124.5,2022,11,6,4.205
35,0,12.995,61944.5,2022,11,6,13.283333
36,0,17.82,63741,2022,11,6,18.326667
37,0,17.73,65527.5,2022,11,6,17.403333
38,0,17.85,67331.5,2022,11,6,17.821667
39,0,16.605,69125,2022,11,6,14.71
40,0,9.95,70926.5,2022,11,6,9.966667
41,0,17.67,72594,2022,11,6,18.224
42,0,22.575,74535.5,2022,11,6,22.45
43,0,22.94,76918,2022,11,6,22.486667
44,0,21.55,78139,2022,11,6,21.613333
45,0,20.82,79940,2022,11,6,19.626667
46,0,20.245,81742,2022,11,6,18.628333
47,0,19.64,83541.5,2022,11,6,19.573333
48,0,18.59,85328.5,2022,11,6,15.865
1,0,19.98,1032,2022,11,7,20.025
2,0,18.7,2533.5,2022,11,7,18.866667
3,0,14.515,4327.5,2022,11,7,14.505
4,0,19.84,5681,2022,11,7,13.98
5,0,10.25,7487,2022,11,7,10.25
6,0,10.145,9755,2022,11,7,10.108333
7,0,0.19,11527.5,2022,11,7,0.196667
8,0,0.15,13320.5,2022,11,7,0.136667
9,0,0.135,15130,2022,11,7,1.851667
10,0,8.79,16921.5,2022,11,7,8.993333
11,0,17.62,18726,2022,11,7,16.891667
12,0,12.955,20538.5,2022,11,7,13.135
13,0,21.49,22218,2022,11,7,22.758571
14,0,23.13,24011,2022,11,7,39.232857
15,0,70.37,25950.5,2022,11,7,67.243333
16,0,104.905,27435.5,2022,11,7,83.686667
17,0,122.545,29172,2022,11,7,112.7425
18,0,50.98,31191,2022,11,7,45.912857
19,0,122.89,33302,2022,11,7,103.244
20,0,50.84,34795,2022,11,7,42.101429
21,0,9.81,36601,2022,11,7,11.531429
22,0,10.18,38395,2022,11,7,9.527143
23,0,17.31,39787.5,2022,11,7,16.97
25,0,15.99,44683,2022,11,7,19.157143
26,0,13.4,45595,2022,11,7,14.062857
27,0,14.235,47557,2022,11,7,15.441667
28,0,9.97,49187,2022,11,7,9.927143
29,0,9.92,50994,2022,11,7,9.925714
30,0,9.72,52808,2022,11,7,9.74
31,0,9.68,54589,2022,11,7,8.947143
32,0,32.62,56426,2022,11,7,31.855714
33,0,36.27,58196,2022,11,7,36.225
34,0,34.23,60167,2022,11,7,34.17
35,0,53.69,61798,2022,11,7,68.075714
36,0,101.06,63778,2022,11,7,100.838571
37,0,101.41,65391,2022,11,7,100.958571
38,0,101.345,67345.5,2022,11,7,101.336667
39,0,100.39,69133.5,2022,11,7,100.281667
40,0,99.68,70935.5,2022,11,7,99.901667
41,0,101.13,72744.5,2022,11,7,101.068333
42,0,98.98,74384,2022,11,7,99.094286
43,0,98.03,76340,2022,11,7,98.011667
44,0,99.015,77840.5,2022,11,7,98.925
45,0,96.685,79948,2022,11,7,96.96
46,0,55.41,81589,2022,11,7,63.917143
47,0,45.62,83391,2022,11,7,49.234286
48,0,24.55,85191,2022,11,7,25.817143
1,0,52.23,887,2022,11,8,51.782857
2,0,23.955,2545,2022,11,8,23.935
3,0,23.95,4196,2022,11,8,23.505714
4,0,24.715,6137,2022,11,8,24.746667
5,0,24.105,7928,2022,11,8,24.053333
6,0,21.76,9576,2022,11,8,29.964286
7,0,11.985,11523,2022,11,8,11.975
8,0,11.96,13324.5,2022,11,8,11.818333
9,0,11.05,15010,2022,11,8,11.163333
10,0,11.595,16936,2022,11,8,19.883333
11,0,22.41,18595,2022,11,8,22.135714
12,0,24.105,20540,2022,11,8,40.353333
13,0,25.09,22188,2022,11,8,45.118571
14,0,44.76,24003,2022,11,8,53.808571
15,0,95.8,25819,2022,11,8,71
16,0,124.04,27604,2022,11,8,157.795714
17,0,167.15,29727,2022,11,8,167.266667
18,0,121.65,31267,2022,11,8,125.837143
19,0,102.33,33007,2022,11,8,110.974286
20,0,102.18,34985,2022,11,8,100.593333
21,0,96.25,36653,2022,11,8,91.421429
22,0,102.125,38346.5,2022,11,8,91.961667
23,0,170.19,40212,2022,11,8,151.331429
24,0,177.04,41995,2022,11,8,145.21
25,0,101.88,43421,2022,11,8,115.132
26,0,179.76,45635,2022,11,8,190.95
27,0,112.89,47391,2022,11,8,139.798571
28,0,118.93,48889,2022,11,8,113.806
29,0,34.97,50990,2022,11,8,35.392857
30,0,36.07,52817,2022,11,8,36.175714
31,0,85.09,54750,2022,11,8,70.771667
32,0,90.325,56543,2022,11,8,89.895
33,0,34.84,58205,2022,11,8,35.224286
34,0,90.05,59984.5,2022,11,8,70.7275
35,0,124.91,61808,2022,11,8,123.238571
36,0,176.13,63606,2022,11,8,160.384286
37,0,103.88,65369,2022,11,8,106.218571
38,0,99.715,67332.5,2022,11,8,98.923333
39,0,95.615,69140.5,2022,11,8,96.043333
40,0,92.89,71094,2022,11,8,93.914
41,0,59.185,72728,2022,11,8,62.056667
42,0,90.945,74531.5,2022,11,8,85.011667
43,0,88.96,76322,2022,11,8,84.608333
44,0,93.93,78131.5,2022,11,8,75.305
45,0,90.11,79944,2022,11,8,71.031667
46,0,33.97,81595,2022,11,8,49.044286
47,0,63.915,83243.5,2022,11,8,63.42375
48,0,33.4,85335,2022,11,8,35.138333
1,0,33.275,1043,2022,11,9,32.845
2,0,8.5,2376,2022,11,9,10.444286
3,0,8.335,4323,2022,11,9,8.33
4,0,21.715,6126.5,2022,11,9,20.591667
5,0,7.895,7926.5,2022,11,9,7.835
6,0,0.47,9883,2022,11,9,0.818
7,0,0.475,11521.5,2022,11,9,0.753333
8,0,0.465,13319.5,2022,11,9,0.476667
9,0,0.465,15129.5,2022,11,9,2.668333
10,0,30.33,16932.5,2022,11,9,32.871667
11,0,33.22,18583,2022,11,9,29.47
12,0,33.53,20539.5,2022,11,9,40.498333
13,0,52.23,22417.5,2022,11,9,47.978333
14,0,72.83,23986,2022,11,9,66.922857
15,0,50.75,25498,2022,11,9,98.606
16,0,124.47,27310,2022,11,9,120.37
17,0,252.27,29482,2022,11,9,342.1925
18,0,96.84,31243,2022,11,9,83.652857
19,0,49.87,33004,2022,11,9,70.014286
20,0,49.53,34657.5,2022,11,9,55.505
21,0,99.19,36606,2022,11,9,113.017143
22,0,117.94,38422,2022,11,9,112.64
23,0,93.49,40243,2022,11,9,88.221429
24,0,45.72,42009,2022,11,9,51.158571
25,0,90.38,43797,2022,11,9,77.517143
26,0,109.56,45343,2022,11,9,107.648
27,0,111.685,46996,2022,11,9,108.6175
28,0,89.46,49206,2022,11,9,83.197143
29,0,86,50707,2022,11,9,79.632
30,0,86.19,52489,2022,11,9,83.214
31,0,95.89,54887.5,2022,11,9,85.003333
32,0,96.05,56390,2022,11,9,102.642857
33,0,83.51,57921,2022,11,9,76.488
34,0,86.89,60055,2022,11,9,86.855714
35,0,67.2,61789,2022,11,9,66.421429
36,0,95.55,63591,2022,11,9,90.474286
37,0,81.01,65092,2022,11,9,84.494
38,0,75.36,66879,2022,11,9,75.552
39,0,74.46,68983,2022,11,9,74.582857
40,0,73.46,70651,2022,11,9,73.4225
41,0,73.3,72460,2022,11,9,73.46
42,0,73.91,74388,2022,11,9,73.721429
43,0,73.86,76185,2022,11,9,73.558571
44,0,72.73,78005,2022,11,9,72.77
45,0,71.58,79794,2022,11,9,74.292857
46,0,68.25,81605,2022,11,9,51.054286
47,0,28.25,83404,2022,11,9,30.032857
48,0,14.08,85196,2022,11,9,9.384286
1,0,0.46,889,2022,11,10,5.658571
2,0,0.24,2253.5,2022,11,10,0.24
3,0,0.02,4342,2022,11,10,0.086667
4,0,0.02,5697,2022,11,10,0.108
5,0,0.015,7803,2022,11,10,0.015
6,0,0.01,9069,2022,11,10,0.013333
7,0,0.02,10832,2022,11,10,0.163333
8,0,39.95,13207,2022,11,10,39.44
9,0,33.24,14854,2022,11,10,28.861667
10,0,16.365,16655.5,2022,11,10,16.745
11,0,37.51,18607,2022,11,10,36.887143
12,0,32.62,20547.5,2022,11,10,28.991667
13,0,37.72,22194,2022,11,10,34.511429
14,0,37.73,24002,2022,11,10,37.36
15,0,68.58,25801,2022,11,10,62.988571
16,0,69.31,27599,2022,11,10,68.951429
17,0,69.21,29246,2022,11,10,62.308333
18,0,68.2,31048.5,2022,11,10,61.771667
19,0,54.15,33016.5,2022,11,10,53.9725
20,0,68.48,34796,2022,11,10,62.264286
21,0,68.27,36471,2022,11,10,59.233333
22,0,40.51,38552,2022,11,10,39.007143
23,0,5.56,39732,2022,11,10,6.683333
25,0,69.265,43795,2022,11,10,52.225
26,0,69.23,45342,2022,11,10,69.086
27,0,67.765,47300,2022,11,10,62.905
28,0,39.08,48642,2022,11,10,26.296667
29,0,5.135,49654.5,2022,11,10,5.135
31,0,5.255,54170.5,2022,11,10,4.0575
32,0,5.27,56401,2022,11,10,5.135714
33,0,71.27,58615,2022,11,10,59.096
34,0,71.185,59889,2022,11,10,66.046667
35,0,71.25,61942.5,2022,11,10,71.668333
36,0,71.25,63601,2022,11,10,70.978571
37,0,70.985,65186,2022,11,10,71.28
38,0,69.545,67039,2022,11,10,69.638333
39,0,68.13,68686,2022,11,10,68.206
40,0,67.375,70656,2022,11,10,67.35
41,0,66.015,72437.5,2022,11,10,61.56
42,0,66.69,74390,2022,11,10,66.664286
43,0,67.22,76180,2022,11,10,67.184286
44,0,66.36,78007,2022,11,10,65.831429
45,0,64.36,79969,2022,11,10,49.916667
46,0,20.37,81615,2022,11,10,35.661429
47,0,20.42,83417,2022,11,10,28.508571
48,0,20.32,85187,2022,11,10,21.66
1,0,9.4,906,2022,11,11,12.374286
2,0,20.23,2533,2022,11,11,20.373333
3,0,20.25,3883,2022,11,11,20.3
4,0,5.48,6137.5,2022,11,11,7.658333
5,0,5.1,7654.5,2022,11,11,4.9575
6,0,5.48,9156.5,2022,11,11,7.6525
7,0,4.72,10806,2022,11,11,3.413333
8,0,5.105,12742,2022,11,11,5.105
9,0,5.48,15029,2022,11,11,3.264286
10,0,5.23,16941,2022,11,11,7.346667
11,0,0.45,18590,2022,11,11,6.757143
12,0,19.575,20541,2022,11,11,14.278333
13,0,36.22,22337.5,2022,11,11,35.985
14,0,52.27,23990,2022,11,11,45.222857
15,0,68.4,25790,2022,11,11,63.728571
16,0,82.46,27741,2022,11,11,83.126667
17,0,108.3,29380,2022,11,11,100.162857
18,0,110.33,31189,2022,11,11,115.614
19,0,118.995,33141,2022,11,11,117.098333
20,0,135.425,34491,2022,11,11,135.425
21,0,94.63,36009,2022,11,11,86.643333
22,0,93.38,38384,2022,11,11,92.74
23,0,93.025,39885.5,2022,11,11,93.025
24,0,94.5,42582,2022,11,11,100.05
25,0,74.385,43932.5,2022,11,11,74.526667
26,0,73.685,45737,2022,11,11,63.54
27,0,73.96,47539,2022,11,11,68.556667
28,0,71.03,49338,2022,11,11,71.826667
29,0,70.14,50978,2022,11,11,53.878571
30,0,39.88,52939,2022,11,11,40.116667
31,0,73.76,54589,2022,11,11,66.447143
32,0,71.605,56535.5,2022,11,11,67.686667
33,0,30.155,58038.5,2022,11,11,33.641667
34,0,28.75,60278,2022,11,11,46.378
35,0,73.16,61628.5,2022,11,11,73.925
36,0,73.58,63875,2022,11,11,73.584
37,0,71.2,65557.5,2022,11,11,71.231667
38,0,70.21,67347,2022,11,11,70.006667
39,0,68.52,69011,2022,11,11,68.527143
40,0,68.11,70793,2022,11,11,62.372857
41,0,68.33,72585,2022,11,11,60.168571
42,0,70.63,74116,2022,11,11,62.404
43,0,74.35,76198,2022,11,11,66.011429
44,0,70.13,78000,2022,11,11,64.754286
45,0,69.12,79789,2022,11,11,63.062857
46,0,69.12,81590,2022,11,11,62.742857
47,0,69.13,83439,2022,11,11,62.627143
48,0,25.29,85267,2022,11,11,28.178571
1,0,24.615,738,2022,11,12,32.2975
2,0,25.5,2392,2022,11,12,38.921429
3,0,25.3,4189,2022,11,12,26.378571
4,0,25.31,5977,2022,11,12,22.808571
5,0,25.315,7927.5,2022,11,12,24.363333
6,0,8.35,9573,2022,11,12,10.542857
7,0,8.49,11368,2022,11,12,12.938571
8,0,8.27,13186,2022,11,12,8.777143
9,0,0.13,15018,2022,11,12,1.552857
10,0,0.5,16790,2022,11,12,1.325714
11,0,0.51,18435,2022,11,12,1.7
12,0,8.09,20392,2022,11,12,19.402857
13,0,42.775,22333,2022,11,12,46.068333
14,0,69.835,24135,2022,11,12,67.435
15,0,77.63,25782,2022,11,12,70.124286
16,0,80.26,27576,2022,11,12,81.115714
17,0,86.18,29386,2022,11,12,84.61
18,0,84.93,31175,2022,11,12,112.396
19,0,118.02,33132,2022,11,12,117.193333
20,0,113.9,34929.5,2022,11,12,114.335
21,0,113.67,36742.5,2022,11,12,105.938333
22,0,89.03,38545.5,2022,11,12,86.898333
23,0,75.83,40333.5,2022,11,12,76.456667
24,0,74.24,42141.5,2022,11,12,74.618333
25,0,73.86,43783,2022,11,12,73.284286
26,0,72.36,45286,2022,11,12,72.403333
27,0,70.88,47082,2022,11,12,70.623333
28,0,24.15,49481,2022,11,12,33.23
29,0,23.9,50975,2022,11,12,24.286667
30,0,24.2,52495,2022,11,12,24.063333
31,0,25.665,54433,2022,11,12,36.5075
32,0,22.36,56536.5,2022,11,12,19.275
33,0,23.61,58355,2022,11,12,23.381667
34,0,70.815,60129,2022,11,12,70.82
35,0,71.06,61788,2022,11,12,71.016
36,0,69.625,63733.5,2022,11,12,69.506667
37,0,68.295,65568.5,2022,11,12,68.318333
38,0,68.13,67223,2022,11,12,61.964286
39,0,67.88,69014,2022,11,12,67.852857
40,0,69.52,70817,2022,11,12,62.728571
41,0,69.53,72599,2022,11,12,58.698571
42,0,70.48,74396,2022,11,12,70.251429
43,0,69.06,76195,2022,11,12,69.175714
44,0,69.785,77879.5,2022,11,12,69.7925
45,0,68.17,79792,2022,11,12,60.944286
46,0,29.4,81617,2022,11,12,37.432857
47,0,22.57,83537.5,2022,11,12,22.476667
48,0,29.7,85195,2022,11,12,26.8
1,0,29.275,1063,2022,11,13,26.826667
2,0,21.77,2670,2022,11,13,21.74
3,0,21.735,4321.5,2022,11,13,22.183333
4,0,24.1,6120.5,2022,11,13,23.325
5,0,20.86,7924,2022,11,13,18.76
6,0,8.14,9723.5,2022,11,13,9.943333
7,0,19.74,11526,2022,11,13,19.663333
8,0,13.85,13335,2022,11,13,13.353333
9,0,8.155,14998.5,2022,11,13,10.691667
10,0,0.25,16795,2022,11,13,2.507143
11,0,3.94,18748.5,2022,11,13,4.135
12,0,19.61,20393,2022,11,13,14.89
13,0,20.09,22323,2022,11,13,19.108333
14,0,7.95,23991,2022,11,13,13.111429
15,0,0.375,25934,2022,11,13,2.7
16,0,7.79,27582,2022,11,13,5.305714
17,0,21.49,29385,2022,11,13,20.574286
18,0,25.07,31338.5,2022,11,13,34.683333
19,0,68.505,33137.5,2022,11,13,54.041667
20,0,62.205,34945.5,2022,11,13,57.111667
21,0,24.445,36754.5,2022,11,13,24.158333
